bbl,bldg,m,og_address,zip code,cd,fc,ss,sa,cc,bin,dev_name,boro,units,transfer,new_address
3043770001,16,M,361 WORTMAN AVENUE,11207,05,08,19,60,42,3324280,BOULEVARD,brooklyn,"1,441", 12/28/2021,361 WORTMAN AVENUE
3043770001,17,M,872 ASHFORD STREET,11207,05,08,19,60,42,3324274,BOULEVARD,brooklyn,"1,441", 12/28/2021,872 ASHFORD STREET
3043770001,17,M,884 ASHFORD STREET,11207,05,08,19,60,42,3324274,BOULEVARD,brooklyn,"1,441", 12/28/2021,884 ASHFORD STREET
3043770001,18,M,908 ASHFORD STREET,11207,05,08,19,60,42,3324275,BOULEVARD,brooklyn,"1,441", 12/28/2021,908 ASHFORD STREET
3043770001,18,M,920 ASHFORD STREET,11207,05,08,19,60,42,3324275,BOULEVARD,brooklyn,"1,441", 12/28/2021,920 ASHFORD STREET
3043550001,2,M,817 SCHENCK AVENUE,11207,05,08,19,60,42,3324293,BOULEVARD,brooklyn,"1,441", 12/28/2021,817 SCHENCK AVENUE
3043550001,2,M,829 SCHENCK AVENUE,11207,05,08,19,60,42,3324293,BOULEVARD,brooklyn,"1,441", 12/28/2021,829 SCHENCK AVENUE
3043550001,3,M,2156 LINDEN BOULEVARD,11207,05,08,19,60,42,3324289,BOULEVARD,brooklyn,"1,441", 12/28/2021,2156 LINDEN BOULEVARD
3043550001,4,M,807 SCHENCK AVENUE,11207,05,08,19,60,42,3324292,BOULEVARD,brooklyn,"1,441", 12/28/2021,807 SCHENCK AVENUE
3043550001,5,M,725 STANLEY AVENUE,11207,05,08,19,60,42,3324294,BOULEVARD,brooklyn,"1,441", 12/28/2021,725 STANLEY AVENUE
3043550001,6,M,2202 LINDEN BOULEVARD,11207,05,08,19,60,42,3324290,BOULEVARD,brooklyn,"1,441", 12/28/2021,2202 LINDEN BOULEVARD
3043550001,7,M,830 ASHFORD STREET,11207,05,08,19,60,42,3324287,BOULEVARD,brooklyn,"1,441", 12/28/2021,830 ASHFORD STREET
3043550001,8,M,765 STANLEY AVENUE,11207,05,08,19,60,42,3324295,BOULEVARD,brooklyn,"1,441", 12/28/2021,765 STANLEY AVENUE
3043550001,9,,812 ASHFORD STREET,11207,05,08,19,60,42,3324286,BOULEVARD,brooklyn,"1,441", 12/28/2021,812 ASHFORD STREET
3043550001,9,,828 ASHFORD STREET,11207,05,08,19,60,42,3324286,BOULEVARD,brooklyn,"1,441", 12/28/2021,828 ASHFORD STREET
3043550001,9,M,804 ASHFORD STREET,11207,05,08,19,60,42,3324286,BOULEVARD,brooklyn,"1,441", 12/28/2021,804 ASHFORD STREET
3043550001,9,M,816 ASHFORD STREET,11207,05,08,19,60,42,3324286,BOULEVARD,brooklyn,"1,441", 12/28/2021,816 ASHFORD STREET
3032970001,23,M,1280 GREENE AVENUE,11221,04,07,18,53,37,3325696,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,1280 GREENE AVENUE
3032970001,24,M,1240 GREENE AVENUE,11221,04,07,18,53,37,3325695,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,1240 GREENE AVENUE
3032970001,25,M,289 CENTRAL AVENUE,11221,04,07,18,53,37,3325694,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,289 CENTRAL AVENUE
3034030001,3,M,595 EVERGREEN AVENUE,11207,04,07,18,54,37,3078553,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,595 EVERGREEN AVENUE
3034100001,4,M,615 EVERGREEN AVENUE,11207,04,07,18,54,37,3078789,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,615 EVERGREEN AVENUE
3034150039,5,M,690 EVERGREEN AVENUE,11207,04,07,18,54,37,3326305,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,690 EVERGREEN AVENUE
3034090032,6,M,670 EVERGREEN AVENUE,11207,04,07,18,54,37,3078774,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,670 EVERGREEN AVENUE
3034150039,7,M,85 COVERT STREET,11207,04,07,18,54,37,3326315,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,85 COVERT STREET
3034150039,8,M,75 COVERT STREET,11207,04,07,18,54,37,3326314,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,75 COVERT STREET
3032760001,9,M,160 HIMROD STREET,11221,04,07,18,53,37,3325660,BUSHWICK II (GROUPS A & C),brooklyn,300, 7/18/2019,160 HIMROD STREET
3033250001,2,M,234 GROVE STREET,11237,04,07,18,53,37,3338492,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,234 GROVE STREET
3033250001,2,M,230 GROVE STREET,11237,04,07,18,53,37,3338492,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,230 GROVE STREET
3033250001,2,M,226 GROVE STREET,11237,04,07,18,53,37,3338492,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,226 GROVE STREET
3033250001,2,M,339 WILSON AVENUE,11221,04,07,18,53,37,3338492,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,339 WILSON AVENUE
