,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address
1257,1021320047,1063193,1,M,WEST,500,177,STREET,10033,500 WEST 177 STREET
1258,1021320110,1063213,2,M,WEST,503,177,STREET,10033,503 WEST 177 STREET
1259,1021320114,1063215,3,M,WEST,511,177,STREET,10033,511 WEST 177 STREET
1260,1021320100,1063209,4,,WEST,514,177,STREET,10033,514 WEST 177 STREET
1261,1021320100,1063209,4,M,WEST,506,177,STREET,10033,506 WEST 177 STREET
1262,1021320094,1063207,5,M,WEST,509,176,STREET,10033,509 WEST 176 STREET
1263,1021100071,1062623,2,M,WEST,450,164,STREET,10032,450 WEST 164 STREET
1264,1021110038,1062639,3,M,WEST,457,164,STREET,10032,457 WEST 164 STREET
1265,1021110040,1062640,4,M,WEST,461,164,STREET,10032,461 WEST 164 STREET
1266,1021110041,1062641,5,M,WEST,463,164,STREET,10032,463 WEST 164 STREET
1267,1021110042,1062642,6,M,WEST,465,164,STREET,10032,465 WEST 164 STREET
1268,1021210051,1062903,7,M,WEST,500,164,STREET,10032,500 WEST 164 STREET
1269,1021110006,1062631,8,,,2111,AMSTERDAM,AVENUE,10032,2111 AMSTERDAM AVENUE
1270,1021110005,1062630,8,M,,2109,AMSTERDAM,AVENUE,10032,2109 AMSTERDAM AVENUE
1271,1021150060,1062726,1,M,WEST,545,156,STREET,10032,545 WEST 156 STREET
1272,1021320106,1063212,1,M,WEST,502,177,STREET,10033,502 WEST 177 STREET
1273,1021320084,1063203,2,M,WEST,506,176,STREET,10033,506 WEST 176 STREET
1274,1021320082,1063202,3,M,WEST,510,176,STREET,10033,510 WEST 176 STREET
1275,1021320080,1063201,4,M,WEST,514,176,STREET,10033,514 WEST 176 STREET
1276,3013410001,3324581,1,M,,1625,DEAN,STREET,11213,1625 DEAN STREET
1277,3013410001,3324581,1,M,,1615,DEAN,STREET,11213,1615 DEAN STREET
1278,3013410001,3324581,1,M,,1605,DEAN,STREET,11213,1605 DEAN STREET
1279,3013410001,3324581,1,M,,1595,DEAN,STREET,11213,1595 DEAN STREET
1280,3013410001,3324581,1,M,,1585,DEAN,STREET,11213,1585 DEAN STREET
1281,3013410001,3324581,1,M,,1575,DEAN,STREET,11213,1575 DEAN STREET
1282,3013410001,3324581,1,M,,87,TROY,AVENUE,11213,87 TROY AVENUE
1283,3013410012,3035671,2,M,,1620,PACIFIC,STREET,11213,1620 PACIFIC STREET
1284,3013410012,3341632,2,M,,1630,PACIFIC,STREET,11213,1630 PACIFIC STREET
1285,3013410012,3341633,2,,,1640,PACIFIC,STREET,11213,1640 PACIFIC STREET
1286,3013410012,3341633,2,M,,1642,PACIFIC,STREET,11213,1642 PACIFIC STREET
1287,3013410012,3341634,2,M,,1650,PACIFIC,STREET,11213,1650 PACIFIC STREET
1288,3013410012,3341635,2,M,,1660,PACIFIC,STREET,11213,1660 PACIFIC STREET
1289,3013410012,3341636,2,M,,1670,PACIFIC,STREET,11213,1670 PACIFIC STREET
1290,3013410012,3341636,2,,,1672,PACIFIC,STREET,11213,1672 PACIFIC STREET
1291,3013410012,3341637,2,M,,80,SCHENECTADY,AVENUE,11213,80 SCHENECTADY AVENUE
1292,5001960001,5095813,1,M,,820,HENDERSON,AVENUE,10310,820 HENDERSON AVENUE
