,building_name,borough,total_units,tds,transferred_date,page_number,bbl,bldg,m,address
230,BOSTON SECOR,BRONX,538,138,9/26/2024,7,2044310001,1,M,2440 BOSTON ROAD
231,BOSTON SECOR,BRONX,538,138,9/26/2024,7,2044310001,2,,2424 BOSTON ROAD
232,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630040,1,M,3475 BIVONA STREET
233,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630040,1,,3485 BIVONA STREET
234,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630040,2,,3545 BIVONA STREET
235,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630040,2,,3565 BIVONA STREET
236,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630040,2,M,3555 BIVONA STREET
237,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,3,M,3550 BIVONA STREET
238,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,3,,3570 BIVONA STREET
239,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,3,,3540 BIVONA STREET
240,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,3,,3560 BIVONA STREET
241,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,3,,3580 BIVONA STREET
242,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,4,,2185 REEDS MILL LANE
243,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,4,M,2175 REEDS MILL LANE
244,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,5,,2185GAR REEDS MILL LANE
245,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,2052630070,6,,3540 BIVONA STREET
246,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043550001,1,,2150 LINDEN BOULEVARD
247,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043550001,1,M,785 SCHENCK AVENUE
248,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043550001,1,M,797 SCHENCK AVENUE
249,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043550001,10,M,842 ASHFORD STREET
250,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043550001,10,M,854 ASHFORD STREET
251,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043550001,10,,773 STANLEY AVENUE
252,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,11,M,845 SCHENCK AVENUE
253,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,11,M,857 SCHENCK AVENUE
254,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,12,M,881 SCHENCK AVENUE
255,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,12,M,893 SCHENCK AVENUE
256,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,13,M,738 STANLEY AVENUE
257,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,13,,726 STANLEY AVENUE
258,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,13,M,740 STANLEY AVENUE
259,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,14,M,359 WORTMAN AVENUE
260,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,14,M,357 WORTMAN AVENUE
261,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,15,M,756 STANLEY AVENUE
262,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,15,,772 STANLEY AVENUE
263,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,15,M,758 STANLEY AVENUE
264,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,16,M,363 WORTMAN AVENUE
265,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,16,M,361 WORTMAN AVENUE
266,BOULEVARD,BROOKLYN,1,046,12/28/2021,7,3043770001,17,M,872 ASHFORD STREET
267,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
268,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
269,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
270,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
271,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
272,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
273,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
274,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
275,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
276,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
277,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,,
278,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
279,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,,
280,BUSHWICK II (GROUPS A & C),BROOKLYN,300,302,7/18/2019,8,,,M,
281,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3034100033,1,M,580 CENTRAL AVENUE
282,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032760001,10,M,140 HIMROD STREET
283,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032760001,11,M,139 HARMAN STREET
284,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032760001,12,M,251 CENTRAL AVENUE
285,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032750047,13,M,270 CENTRAL AVENUE
286,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032850049,14,M,290 CENTRAL AVENUE
287,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032960046,15,M,310 CENTRAL AVENUE
288,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032860001,16,M,250 WILSON AVENUE
289,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032860001,17,M,190 HARMAN STREET
290,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032860001,18,M,1259 GREENE AVENUE
291,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3032860001,19,M,140 HARMAN STREET
292,BUSHWICK II (GROUPS B & D),BROOKLYN,300,303,7/18/2019,8,3034100033,2,M,155 ELDERT STREET
