address,development_name,current_apts,total_apts,transferred_date
239 LINDEN STREET,,,,
240 BROADWAY,,,,
240 GRAHAM AVENUE,,,,
240 WORTMAN AVENUE,,,,
2401 ADAM C POWELL BOULEVARD,,,,
2403 ADAM C POWELL BOULEVARD,,,,
2405 ADAM C POWELL BOULEVARD,,,,
2407 ADAM C POWELL BOULEVARD,,,,
2409 ADAM C POWELL BOULEVARD,,,,
241 GRAHAM AVENUE,,,,
242 GRAHAM AVENUE,,,,
242 GROVE STREET,,,,
2424 BOSTON ROAD,,,,
243 GRAHAM AVENUE,,,,
243 LINDEN STREET,,,,
243 WORTMAN AVENUE,,,,
2430 BOSTON ROAD,,,,
244 BROADWAY,,,,
244 GRAHAM AVENUE,,,,
2440 BOSTON ROAD,,,,
2441 ADAM C POWELL BOULEVARD,,,,
2449 ADAM C POWELL BOULEVARD,,,,
245 COZINE AVENUE,,,,
245 GRAHAM AVENUE,,,,
245 WORTMAN AVENUE,,,,
2453 ADAM C POWELL BOULEVARD,,,,
246 GRAHAM AVENUE,,,,
2461 ADAM C POWELL BOULEVARD,,,,
2465 ADAM C POWELL BOULEVARD,,,,
2469 ADAM C POWELL BOULEVARD,,,,
247 GRAHAM AVENUE,,,,
247 LINDEN STREET,,,,
247 WORTMAN AVENUE,,,,
2473 ADAM C POWELL BOULEVARD,,,,
2477 ADAM C POWELL BOULEVARD,,,,
248 GRAHAM AVENUE,,,,
250 GRAHAM AVENUE,,,,
250 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
250 WILSON AVENUE,,,,
250 WORTMAN AVENUE,,,,
251 CENTRAL AVENUE,,,,
251 LINDEN STREET,,,,
252 GRAHAM AVENUE,,,,
252 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
2525 ADAM C POWELL BOULEVARD,,,,
2529 ADAM C POWELL BOULEVARD,,,,
253 HAVEMEYER STREET,,,,
2533 ADAM C POWELL BOULEVARD,,,,
2537 ADAM C POWELL BOULEVARD,,,,
254 GRAHAM AVENUE,,,,
254 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
255 HAVEMEYER STREET,,,,
260 BRADFORD STREET,,,,
260 BROADWAY,,,,
260 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
262 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
2620 ADAM C POWELL BOULEVARD,,,,
2621 ADAM C POWELL BOULEVARD,,,,
2622 ADAM C POWELL BOULEVARD,,,,
2624 ADAM C POWELL BOULEVARD,,,,
2626 ADAM C POWELL BOULEVARD,,,,
2627 ADAM C POWELL BOULEVARD,,,,
2628 ADAM C POWELL BOULEVARD,,,,
2630 ADAM C POWELL BOULEVARD,,,,
2632 ADAM C POWELL BOULEVARD,,,,
2633 ADAM C POWELL BOULEVARD,,,,
2637 ADAM C POWELL BOULEVARD,,,,
264 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
2641 ADAM C POWELL BOULEVARD,,,,
2645 ADAM C POWELL BOULEVARD,,,,
2650 ADAM C POWELL BOULEVARD,,,,
2651 ADAM C POWELL BOULEVARD,,,,
2653 ADAM C POWELL BOULEVARD,,,,
269 CENTRAL AVENUE,,,,
270 CENTRAL AVENUE,,,,
270 WILSON AVENUE,,,,
270 WORTMAN AVENUE,,,,
278 LEXINGTON AVENUE,,,,
280 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
280 TOMPKINS AVENUE,,,,
282 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
284 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
285 COZINE AVENUE,,,,
2850 FREDERICK DOUGLASS BOULEVARD,,,,
286 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
288 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
289 CENTRAL AVENUE,,,,
290 CENTRAL AVENUE,,,,
290 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
291 WEST 151 STREET,,,,
292 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
293 WEST 151 STREET,,,,
294 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
295 COZINE AVENUE,,,,
295 WEST 151 STREET,,,,
296 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
298 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
300 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
300 WORTMAN AVENUE,,,,
302 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
303 NOSTRAND AVENUE,,,,
3031 MIDDLETOWN ROAD,,,,
3033 MIDDLETOWN ROAD,,,,
3035 MIDDLETOWN ROAD,,,,
304 LEXINGTON AVENUE,,,,
305 LEXINGTON AVENUE,,,,
305 NOSTRAND AVENUE,,,,
307 NOSTRAND AVENUE,,,,
309 NOSTRAND AVENUE,,,,
310 CENTRAL AVENUE,,,,
310 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
311 LEXINGTON AVENUE,,,,
