,full_address,A,B,C,I,,,,,,
296,135 WEST 143 STREET,2,,4,,,,,,,
297,715 NOBLE AVENUE,3,10,4,,,,,,,
298,631 JEFFERSON PLACE,5,1,4,,,,,,,
299,1810 LAFAYETTE AVENUE,2,8,4,,,,,,,
300,1804 STERLING PLACE,5,2,4,1,,,,,,
301,1568 STERLING PLACE,3,2,4,,,,,,,
302,440 BERRY STREET,8,,4,,,,,,,
303,215 WORTMAN AVENUE,2,6,4,,,,,,,
304,136 WEST 139 STREET,1,1,3,1,,,,,,
305,1379 FRANKLIN AVENUE,4,4,3,,,,,,,
306,611 EAST 158 STREET,1,5,3,1,,,,,,
307,138 WEST 139 STREET,1,,3,,,,,,,
308,1085 ANDERSON AVENUE,9,3,3,1,,,,,,
309,580 STANLEY AVENUE,4,9,3,,,,,,,
310,520 EAST 144 STREET,,1,3,,,,,,,
311,810 HENDERSON AVENUE,8,4,3,1,,,,,,
312,1141 EAST 229 STREET,,,3,,,,,,,
313,430 BEACH 54 STREET,1,5,3,,,,,,,
314,2537 ADAM C POWELL BOULEVARD,1,,3,,,,,,,
315,415 EVERGREEN AVENUE,10,3,3,1,,,,,,
316,187 TAPSCOTT STREET,2,1,3,,,,,,,
317,1144 NELSON AVENUE,5,11,3,1,,,,,,
318,222 GRAHAM AVENUE,9,,3,,,,,,,
319,4030 LACONIA AVENUE,,2,3,,,,,,,
320,400 CENTRAL AVENUE,3,,3,1,,,,,,
321,121 WILSON STREET,13,9,3,,,,,,,
322,230 BROADWAY,7,6,3,,,,,,,
323,465 WEST 164 STREET,7,5,3,,,,,,,
324,423 EAST 146 STREET,1,2,3,,,,,,,
325,305 LEXINGTON AVENUE,14,8,3,,,,,,,
326,1890 SCHIEFFELIN AVENUE,8,4,3,,,,,,,
327,1065 CASTLETON AVENUE,1,,2,1,,,,,,
328,144 WEST 141 STREET,1,1,2,,,,,,,
329,3033 MIDDLETOWN ROAD,4,4,2,,,,,,,
330,1383 FRANKLIN AVENUE,2,2,2,,,,,,,
331,756 STANLEY AVENUE,5,10,2,,,,,,,
332,340 LEFFERTS AVENUE,,,2,,,,,,,
333,390 WILSON AVENUE,8,2,2,1,,,,,,
334,222 TEN EYCK WALK,5,5,2,,,,,,,
335,3881 BAYCHESTER AVENUE,1,3,2,,,,,,,
336,192 TAPSCOTT STREET,7,5,2,,,,,,,
337,672 RALPH AVENUE,4,1,2,,,,,,,
338,1522 STERLING PLACE,3,,2,,,,,,,
339,514 WEST 176 STREET,2,4,2,,,,,,,
340,1145 LENOX ROAD,1,2,2,,,,,,,
341,695 EAST 139 STREET,3,8,2,,,,,,,
342,294 LEXINGTON AVENUE,14,8,2,1,,,,,,
343,380 LEXINGTON AVENUE,10,,2,1,,,,,,
344,240 WORTMAN AVENUE,3,3,2,,,,,,,
345,360 NOSTRAND AVENUE,,,2,,,,,,,
346,366 CLIFTON PLACE,2,10,2,,,,,,,
347,1390 FRANKLIN AVENUE,2,1,2,,,,,,,
348,510 WEST 176 STREET,1,,2,,,,,,,
349,431 EVERGREEN AVENUE,2,1,2,1,,,,,,
350,920 VERMONT STREET,2,,2,1,,,,,,
351,510 EAST 146 STREET,7,6,2,,,,,,,
352,1724 STERLING PLACE,,,2,,,,,,,
353,95 PALMETTO STREET,2,,2,1,,,,,,
354,1131 226 DRIVE,,2,2,,,,,,,
355,1732 STERLING PLACE,,2,2,,,,,,,
356,525 EAST 143 STREET,2,9,2,,,,,,,
357,1139 NELSON AVENUE,1,3,2,1,,,,,,
358,1761 STERLING PLACE,1,2,2,,,,,,,
359,506 WEST 176 STREET,3,,2,,,,,,,
360,499 HOWARD AVENUE,3,6,2,1,,,,,,
361,435 GATES AVENUE,10,12,2,,,,,,,
362,54-09 ALMEDA AVENUE,8,1,2,,,,,,,
363,535 EAST 143 STREET,,,2,,,,,,,
364,471 GATES AVENUE,1,5,2,2,,,,,,
365,91 SCHOLES STREET,2,1,2,,,,,,,
366,450 WEST 164 STREET,2,1,2,,,,,,,
367,1196 EAST NEW YORK AVENUE,1,,2,,,,,,,
368,457 GATES AVENUE,,4,2,1,,,,,,
369,1766 STERLING PLACE,2,,2,,,,,,,
370,1201 GATES AVENUE,16,8,2,1,,,,,,
371,160 HIMROD STREET,5,1,2,1,,,,,,
372,461 GATES AVENUE,,1,2,1,,,,,,
373,461 WEST 164 STREET,2,2,2,1,,,,,,
374,130 WEST 166 STREET,7,,2,1,,,,,,
375,129 WEST 142 STREET,1,,2,,,,,,,
376,84 SOUTH 10 STREET,7,1,1,,,,,,,
377,270 CENTRAL AVENUE,3,,1,2,,,,,,
378,270 WILSON AVENUE,3,1,1,2,,,,,,
379,2215 PITKIN AVENUE,3,,1,1,,,,,,
380,88 SOUTH 10 STREET,2,1,1,,,,,,,
381,1900 SCHIEFFELIN AVENUE,4,2,1,,,,,,,
382,95 WILSON STREET,1,2,1,,,,,,,
383,385 LEXINGTON AVENUE,4,1,1,,,,,,,
384,806 HENDERSON AVENUE,4,1,1,1,,,,,,
