,level_0,omoid,omonumber,bbl_x,buildingid,boro id,housenumber_x,streetname_x,boro_x,apartment,lifecycle,worktypegeneral,omostatusreason,omoawardamount,omocreatedate,netchangeorders,omoawarddate,isaep,iscommercialdemolition,servicechargeflag,femaeventid,femaevent,omodescription,nta,full_address,Unnamed: 0,bbl_y,bldg#,m,direction,housenumber_y,streetname_y,street_type,zip,index,development,transfer_date,boro_y,units,old_merge,_merge
253,461164,5371515,EO08650,3043770001,809554,3,726,STANLEY AVENUE,BROOKLYN,,Standing Building,GC,Landlord Complied,630,9/28/23,0,11/6/23,,,TRUE,,,"nyc hpd emergency operations division   essential service work  at fire door 1st from east at public hall, 1st story install door closer and",East New York-New Lots,726 STANLEY AVENUE,263,3043770001,13,,,726,STANLEY,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
254,461258,5438691,EO30339,3013790008,376440,3,1448,STERLING PLACE,BROOKLYN,4B,Standing Building,GC,OMO Completed,660,4/26/24,0,5/6/24,,,FALSE,,,apt ent door make all necessary repairs to door to ensure it self closes and latches. install new mortise lock and self closing hinges at apt 4b ent,Crown Heights (North),1448 STERLING PLACE,1146,3013790008,1,M,,1448,STERLING,PLACE,11213,1185,STERLING PLACE REHABS (STERLING-BUFFALO),11/28/23,BROOKLYN,125,both,both
255,461429,5499785,EP13621,2049050003,807138,2,1130,226 DRIVE,BRONX,,Standing Building,GC,No Access,"1,250",11/29/24,0,12/9/24,,,TRUE,,,nyc hpd emergency operations division   essential service work  replace defective latchset at building entrance door. at building front entranc,Eastchester-Edenwald-Baychester,1130 226 DRIVE,465,2049050001,37,M,,1130,226,DRIVE,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
256,461487,5501917,EP14165,3043770001,809929,3,357,WORTMAN AVENUE,BROOKLYN,,Standing Building,GC,Landlord Complied,880,12/7/24,0,12/16/24,,,TRUE,,,at building entrance door 1st story : nyc hpd emergency operations division-essential service work. at building entrance door 1st story m,East New York-New Lots,357 WORTMAN AVENUE,266,3043770001,14,M,,357,WORTMAN,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
257,461552,5481513,EP07618,2025140067,99125,2,1139,NELSON AVENUE,BRONX,3A,Standing Building,GC,No Access,50,9/24/24,0,12/5/24,,,TRUE,,,"apt #3a as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. apt #3a as per",Highbridge,1139 NELSON AVENUE,615,2025140067,3,M,,1139,NELSON,AVENUE,10452,654,HIGHBRIDGE REHABS (NELSON AVENUE),11/30/18,BRONX,80,both,both
258,461564,5499725,EP13606,3043690001,809165,3,875,PENNSYLVANIA AVENUE,BROOKLYN,4K,Standing Building,GC,OMO Completed,"1,850",11/27/24,0,12/6/24,,,FALSE,,,"nyc hpd emergency operations division  essential service work  at apartment 4k, 4th story, 7th apartment from south at west. replace apartment en",East New York-New Lots,875 PENNSYLVANIA AVENUE,1010,3043690001,1,M,,875,PENNSYLVANIA,AVENUE,11207,1049,PENNSYLVANIA AVENUE-WORTMAN AVENUE,12/28/21,BROOKLYN,336,both,both
259,462468,5479580,EP07041,3035090059,383517,3,2058,UNION STREET,BROOKLYN,3B,Standing Building,GC,Tenant Refused Access,50,9/18/24,0,12/13/24,,,TRUE,,,"apt #3c as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. apt #3c as per",Brownsville,2058 UNION STREET,1161,3035090059,3,M,,2058,UNION,STREET,11212,1199,SUTTER AVENUE-UNION STREET,11/28/23,BROOKLYN,100,both,both
260,462638,5411068,EO22013,3013730043,362393,3,208,ROCHESTER AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,980,2/2/24,0,2/8/24,,,FALSE,,,nyc hpd emergency operations division  essential service work at 3rd story staircase intermediate landing: properly replace the defective upp,Crown Heights (North),208 ROCHESTER AVENUE,1003,3013730043,4,M,,208,ROCHESTER,AVENUE,11213,1042,PARK ROCK REHAB,11/28/23,BROOKLYN,134,both,both
261,462988,5412798,EO22384,1020370001,4186,1,2850,FREDERICK DOUGLASS BOULEVARD,MANHATTAN,,Standing Building,GC,OMO Completed,"1,500",2/7/24,0,2/13/24,,,FALSE,,,"replace defective heavy duty closer and repair weather strip and adjust to ensure door is self closing at (building entrance at public hall, 1st story",Harlem (North),2850 FREDERICK DOUGLASS BOULEVARD,601,1020370001,8,M,,2850,FREDERICK DOUGLASS,BOULEVARD,10039,640,HARLEM RIVER II ,2/17/22,MANHATTAN,116,both,both
262,463154,5462705,EP01817,2049050001,806644,2,1145,EAST 229 STREET,BRONX,,Standing Building,GC,OMO Completed,"2,340",7/18/24,0,7/25/24,,,FALSE,,,door ( bldg 1151 stair way a ) install new door -nyc hpd emergency operations division  essential service work- make all necessary re,Eastchester-Edenwald-Baychester,1145 EAST 229 STREET,421,2049050001,16,,EAST,1145,229,STREET,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
